year,country,label,voc,gdp_pc_ppp,gdp_pc_unadjusted,pre_tax_gini,post_tax_gini,population
2002,JP,Japan,CME,44260.2518,25717.4908,0.5229,0.4683,127484598
2002,NL,Netherlands,CME,63069.9524,52681.9524,0.3949,0.2955,16288051
2002,NO,Norway,CME,87898.9836,74503.7631,0.3925,0.2339,4538014
2002,SE,Sweden,CME,55297.3569,44524.8897,0.3853,0.2395,8925047
2002,AU,Australia,LME,55525.3753,52262.0315,0.4751,0.3704,19595355
2002,CA,Canada,LME,56060.6666,47094.9503,0.5002,0.3909,31535577
2002,GB,United Kingdom,LME,50677.8132,44306.588,0.4887,0.3584,59540763
2002,NZ,New Zealand,LME,40773.1731,36713.1434,0.4837,0.3823,3951119
2002,US,United States,LME,63112.5,63112.5,0.5402,0.4585,287084338
2003,AT,Austria,CME,62697.5825,49060.7485,0.4222,0.3091,8122602
2003,BE,Belgium,CME,59085.2108,45808.5031,0.445,0.3025,10376260
2003,CH,Switzerland,CME,76380.257,83114.5592,0.4281,0.3117,7333447
2003,DE,Germany,CME,56681.2779,43614.8263,0.434,0.3294,82111615
2003,DK,Denmark,CME,65894.6646,55351.7703,0.3826,0.1831,5390620
